group1,group2,value
tRNA-Arg-CCG-1-3,CN34-Par-1,1
tRNA-Arg-CCG-2-1,CN34-Par-1,1
tRNA-Arg-CCG-1-1,CN34-Par-1,1
tRNA-Arg-CCG-1-2,CN34-Par-1,1
tRNA-Arg-CCG-1-3,CN34-Par-2,1
tRNA-Arg-CCG-2-1,CN34-Par-2,1
tRNA-Arg-CCG-1-1,CN34-Par-2,1
tRNA-Arg-CCG-1-2,CN34-Par-2,1
tRNA-Arg-CCG-1-3,CN34-LM1a-1,4.054193272
tRNA-Arg-CCG-2-1,CN34-LM1a-1,1.269697041
tRNA-Arg-CCG-1-1,CN34-LM1a-1,1.983648402
tRNA-Arg-CCG-1-2,CN34-LM1a-1,0.957846593
tRNA-Arg-CCG-1-3,CN34-LM1a-2,4.035487559
tRNA-Arg-CCG-2-1,CN34-LM1a-2,1.356092068
tRNA-Arg-CCG-1-1,CN34-LM1a-2,2.483648325
tRNA-Arg-CCG-1-2,CN34-LM1a-2,0.923179653
